time,open,high,low,close,vol,%,id,timestamp
8.12010467,8.84751625,6.01505124,7.020207000000001,55390.450999999994,-14.33,213,2011-05-14 00:00:00,
6.97872069,7.527588400000001,6.20001,6.98727273,18294.87,-0.47,214,2011-05-15 00:00:00,
6.98803195,8.45424522,6.88780576,7.97851194,44141.405,14.19,215,2011-05-16 00:00:00,
8.03212077,8.15417002,6.99487842,7.22605407,35345.455,-9.43,216,2011-05-17 00:00:00,
7.1911,7.46875714,6.61869744,6.88738139,25403.435,-4.69,217,2011-05-18 00:00:00,
6.70020161,7.30879845,6.61210445,6.81057312,24436.409,-1.12,218,2011-05-19 00:00:00,
6.95984726,7.09990497,5.5903448,5.5903448,44460.435,-17.92,219,2011-05-20 00:00:00,
5.75400488,6.46221765,5.60819661,6.12174758,31111.902000000002,9.51,220,2011-05-21 00:00:00,
6.14,6.759308,6.00425284,6.70304696,23872.154,9.5,221,2011-05-22 00:00:00,
6.69002914,7.42469861,6.69,7.09895268,35279.88,5.91,222,2011-05-23 00:00:00,
7.14536364,7.48789676,6.96,7.42,29282.479,4.52,223,2011-05-24 00:00:00,
7.50566929,8.9735505,7.21612,8.47072877,64049.942,14.16,224,2011-05-25 00:00:00,
8.23960404,8.89515363,8.01600522,8.79255354,28644.99,3.8,225,2011-05-26 00:00:00,
8.7002,8.81517586,8.5002,8.5002,14431.838,-3.33,226,2011-05-27 00:00:00,
8.50211538,8.69606949,8.11041735,8.3001,12247.722,-2.35,227,2011-05-28 00:00:00,
8.3001,8.48996757,8.131,8.40771899,7487.54,1.3,228,2011-05-29 00:00:00,
8.43459155,8.98349637,8.28090705,8.80002817,17680.151,4.67,229,2011-05-30 00:00:00,
8.8,9.46403712,8.18981364,8.69197091,45794.425,-1.23,230,2011-05-31 00:00:00,
8.74617802,9.68796187,8.42483211,9.66912316,43479.96,11.24,231,2011-06-01 00:00:00,
9.60000008,10.84982639,9.50129467,10.6485974,41047.265,10.13,232,2011-06-02 00:00:00,
10.6417992,14.45973734,10.60006758,14.35065546,72980.242,34.77,233,2011-06-03 00:00:00,
14.26851119,18.68318411,14.05736384,18.68318411,44475.343,30.19,234,2011-06-04 00:00:00,
18.96357278,18.96357278,16.25727744,16.6486166,24278.972,-10.89,235,2011-06-05 00:00:00,
16.66263058,19.2298424,16.52029172,18.46754804,55092.474,10.93,236,2011-06-06 00:00:00,
18.26035,24.15253354,18.26035,23.30147886,53715.037000000004,26.18,237,2011-06-07 00:00:00,
23.88165419,31.89648689,22.55852149,29.71805036,104925.15699999999,27.54,238,2011-06-08 00:00:00,
29.97212644,31.499968199999998,26.47256521,28.92517705,62933.66,-2.67,239,2011-06-09 00:00:00,
28.80190542,29.37464353,20.01940477,23.871373100000003,92208.2,-17.47,240,2011-06-10 00:00:00,
23.92477564,23.99,13.36040143,14.65111549,121869.972,-38.62,241,2011-06-11 00:00:00,
14.69111729,24.23329116,10.31915826,18.750862899999998,151194.158,27.98,242,2011-06-12 00:00:00,
18.51989729,24.44074444,16.27164179,19.35770243,73421.791,3.24,243,2011-06-13 00:00:00,
19.80019207,20.42913042,18.05094688,19.30104812,36155.99,-0.29,244,2011-06-14 00:00:00,
19.17155695,19.99231994,19.09518665,19.49,27711.897999999997,0.98,245,2011-06-15 00:00:00,
19.46614996,19.87706504,17.25723277,17.25723277,49202.135,-11.46,246,2011-06-16 00:00:00,
16.86708079,18.03714371,13.30544549,15.659742600000001,108623.773,-9.26,247,2011-06-17 00:00:00,
15.92212128,16.94738473,15.09482434,16.88329044,35536.552,7.81,248,2011-06-18 00:00:00,
16.89065421,18.49677103,16.89065421,17.51,30176.738999999998,3.71,249,2011-06-19 00:00:00,
17.51001,17.51001,14.06091197,16.35579424,15053.92351324,-6.59,250,2011-06-26 00:00:00,
16.45235515,17.8364367,16.03015582,16.75007645,31452.53718228,2.41,251,2011-06-27 00:00:00,
16.74999024,17.16942377,16.50508416,16.94526116,24398.13598191,1.17,252,2011-06-28 00:00:00,
16.94842598,17.06716068,16.69095071,16.92471545,21043.36086737,-0.12,253,2011-06-29 00:00:00,
16.846,16.9962727,15.85140109,16.15279127,34961.1805219,-4.56,254,2011-06-30 00:00:00,
16.08016503,16.71895339,15.27506162,15.36826844,33284.44428424,-4.86,255,2011-07-01 00:00:00,
15.37427487,15.7989,15.29404342,15.4,19455.79387117,0.21,256,2011-07-02 00:00:00,
15.39255573,15.65057143,15.323723300000001,15.44046191,16805.73378795,0.26,257,2011-07-03 00:00:00,
15.44446557,15.48416358,13.28476079,13.80322415,52292.52020404,-10.6,258,2011-07-04 00:00:00,
13.871762599999998,14.20466875,11.05300256,12.911077800000001,84102.76191968,-6.46,259,2011-07-05 00:00:00,
12.76309185,16.42020447,12.69674354,14.75200355,111845.93028305,14.26,260,2011-07-06 00:00:00,
14.733040099999998,15.65515926,14.54967462,14.76818955,54476.22191287,0.11,261,2011-07-07 00:00:00,
14.79865686,15.44970887,13.93153666,14.31419967,34865.41452607,-3.07,262,2011-07-08 00:00:00,
14.31700273,14.60212519,14.06998516,14.37912906,11922.645489499999,0.45,263,2011-07-09 00:00:00,
